rfc_page,yr,distinct_editors,total_edits,reverted_edits,first_edit,last_edit,duration_days,revert_rate
Requests_for_comment/Sgactorny,2006,13,35,0.0,20060129044906,20220107071140,5822,0.0
Requests_for_comment/Shadylanenz,2006,2,2,0.0,20060519095451,20220107071143,5712,0.0
Requests_for_comment/Sheynhertz-Unbayg,2006,20,95,0.0,20060711161357,20220107071155,5659,0.0
Requests_for_comment/Shotwell,2006,6,18,0.0,20061022012819,20220107071157,5556,0.0
Requests_for_comment/Siddiqui,2006,29,157,0.0,20060316081645,20220107071202,5776,0.0
Requests_for_comment/Silverback,2006,4,10,0.0,20060205000801,20230303043529,6235,0.0
Requests_for_comment/Sir_Nicholas_de_Mimsy-Porpington,2006,83,416,0.0,20061229101528,20220404134546,5575,0.0
Requests_for_comment/SlimVirgin2,2006,3,11,0.0,20060529050455,20230303043520,6122,0.0
Requests_for_comment/Snake_Liquid,2006,11,32,0.0,20060801045442,20220107071234,5638,0.0
Requests_for_comment/Snowspinner_1,2006,8,10,0.0,20060103125426,20250218070342,6986,0.0
Requests_for_comment/Snowspinner_3,2006,105,234,0.0,20060101171622,20230210220256,6249,0.0
"Requests_for_comment/Society,_law,_and_sex",2006,272,668,0.0,20060101144124,20080908232526,981,0.0
Requests_for_comment/Society_and_law,2006,3,3,0.0,20060122033051,20060125023705,3,0.0
Requests_for_comment/Ste4k,2006,24,140,0.0,20060721210956,20220423174959,5755,0.0
Requests_for_comment/Stevertigo,2006,4,8,0.0,20060821100019,20241119141127,6665,0.0
Requests_for_comment/Striver,2006,3,6,0.0,20060509105628,20230303043506,6142,0.0
Requests_for_comment/StuRat,2006,30,117,0.0,20061213153046,20070124105839,42,0.0
Requests_for_comment/Sugaar,2006,15,34,0.0,20061122021739,20211210152718,5497,0.0
Requests_for_comment/Supreme_Cmdr,2006,14,85,0.0,20060806230015,20230303043503,6053,0.0
Requests_for_comment/Swainstonation,2006,8,28,0.0,20060611045906,20230303043459,6109,0.0
Requests_for_comment/Swastika,2006,3,3,0.0,20060613082312,20181023181617,4515,0.0
Requests_for_comment/TDC-2,2006,2,3,0.0,20060821100136,20220107071325,5618,0.0
Requests_for_comment/Ta_bu_shi_da_yu,2006,3,4,0.0,20060528161235,20220107071332,5703,0.0
Requests_for_comment/Ta_bu_shi_da_yu_2,2006,68,287,0.0,20060227215941,20250926015436,7151,0.0
Requests_for_comment/Take_Me_Higher,2006,13,36,0.0,20060423124555,20230303043453,6158,0.0
Requests_for_comment/Talrias,2006,18,35,0.0,20060103221107,20230210220318,6247,0.0
Requests_for_comment/Tatsuma,2006,6,18,0.0,20060831033057,20220107071352,5608,0.0
Requests_for_comment/Tcatron565,2006,2,3,0.0,20060105161421,20230130081457,6234,0.0
Requests_for_comment/Teemu_Ruskeepää,2006,12,37,0.0,20060629082313,20220107071402,5671,0.0
Requests_for_comment/Telex,2006,15,32,0.0,20060711053048,20220404134540,5746,0.0
Requests_for_comment/Terryeo,2006,31,221,0.0,20060308230525,20060705150813,119,0.0
Requests_for_comment/TheKingOfDixie,2006,7,34,0.0,20060429175604,20220107071441,5732,0.0
Requests_for_comment/Theodore7,2006,42,144,0.0,20060113061533,20220107071449,5838,0.0
Requests_for_comment/Tim_Smith,2006,19,70,0.0,20061229191447,20230219022125,5896,0.0
Requests_for_comment/Tina_M._Barber,2006,23,43,0.0,20060130222252,20220107071505,5821,0.0
Requests_for_comment/Tmk83634,2006,2,2,0.0,20060528055011,20220107071508,5703,0.0
Requests_for_comment/Tobias_Conradi,2006,2,2,0.0,20060114210927,20220107071511,5837,0.0
Requests_for_comment/Tony_Sidaway,2006,1,2,0.0,20060916153237,20060916153255,0,0.0
Requests_for_comment/Tony_Sidaway_1,2006,8,12,0.0,20060103105053,20220331095501,5931,0.0
Requests_for_comment/Tony_Sidaway_2,2006,5,12,0.0,20060104150830,20230128155640,6233,0.0
Requests_for_comment/Tony_Sidaway_3,2006,152,658,0.0,20060531224425,20220516053036,5829,0.0
Requests_for_comment/Tran_Van_Ba,2006,4,4,0.0,20060327073228,20220107071542,5765,0.0
Requests_for_comment/Trödel,2006,17,113,0.0,20061206044531,20230303043428,5931,0.0
Requests_for_comment/UCRGrad,2006,16,112,0.0,20060721154441,20230403081910,6100,0.0
Requests_for_comment/USERNAME,2006,13,23,0.0,20060411024305,20220412094143,5845,0.0
Requests_for_comment/Uknewthat,2006,13,39,0.0,20060916184533,20220107071603,5592,0.0
Requests_for_comment/Ultramarine,2006,2,2,0.0,20060613093339,20230210220339,6086,0.0
Requests_for_comment/UninvitedCompany,2006,2,4,0.0,20060613094434,20230210220342,6086,0.0
Requests_for_comment/United_States_Congress,2006,333,619,0.0,20060130073126,20230130081448,6209,0.0
Requests_for_comment/User:24.10.74.104,2006,2,3,0.0,20060610171952,20220107071636,5690,0.0
Requests_for_comment/User:Devin79,2006,9,19,0.0,20060911115155,20230303043337,6017,0.0
Requests_for_comment/User:Mr_j_galt,2006,26,146,0.0,20060204222804,20070502105735,452,0.0
Requests_for_comment/User:ReyBrujo,2006,2,2,0.0,20060702042115,20220107071645,5668,0.0
Requests_for_comment/User_conduct,2006,925,2938,4.0,20060101010907,20251004065422,7216,0.001
Requests_for_comment/User_conduct/Archive,2006,139,580,0.0,20060103120844,20210807205409,5695,0.0
Requests_for_comment/User_conduct_disputes_archive/Lizard_King_(UtherSRG),2006,2,2,0.0,20060706165745,20070106110330,184,0.0
Requests_for_comment/User_conduct_poll,2006,1,2,0.0,20060207175001,20060207175152,0,0.0
Requests_for_comment/User_names,2006,1877,22602,172.0,20060105173212,20260602213535,7453,0.008
Requests_for_comment/User_names/Trollderella,2006,5,9,0.0,20060525171639,20230128155635,6092,0.0
Requests_for_comment/VeryVerily2,2006,2,3,0.0,20060403010004,20230210220405,6157,0.0
Requests_for_comment/Vintila_Barbu,2006,6,20,0.0,20061217001800,20070116215641,30,0.0
Requests_for_comment/Viogfernos,2006,4,7,0.0,20060905002210,20220107071702,5603,0.0
Requests_for_comment/Vivaldi,2006,23,219,0.0,20060520001926,20230219052640,6119,0.0
Requests_for_comment/WAREL,2006,18,49,0.0,20060403222637,20230303043321,6178,0.0
Requests_for_comment/Wareware,2006,3,4,0.0,20060526190038,20220107071743,5705,0.0
Requests_for_comment/Whaleto,2006,28,143,0.0,20060413214426,20220517154745,5878,0.0
Requests_for_comment/Whig,2006,4,6,0.0,20061229195404,20220107071802,5488,0.0
Requests_for_comment/Wiarthurhu,2006,18,70,0.0,20060716234343,20220107071814,5654,0.0
Requests_for_comment/WikiRoo,2006,10,16,0.0,20060710153954,20220107071821,5660,0.0
Requests_for_comment/Wikipedia:Naming_conventions_(hockey),2006,9,15,0.0,20060303155521,20230210220431,6188,0.0
Requests_for_comment/Wikipedia_policies_and_guidelines,2006,378,4249,17.0,20060102030655,20260217100516,7351,0.004
Requests_for_comment/Wikipedia_style_and_naming,2006,216,1689,6.0,20060101161801,20260509010415,7433,0.004
Requests_for_comment/William_M._Connolley,2006,6,7,0.0,20060613082323,20230210220440,6086,0.0
Requests_for_comment/Williamo1,2006,8,19,0.0,20060323170639,20220107071838,5769,0.0
Requests_for_comment/WritersCramp,2006,8,18,0.0,20060106142227,20060713215447,188,0.0
Requests_for_comment/Xed,2006,2,3,0.0,20060618051515,20230210220445,6081,0.0
Requests_for_comment/Xino,2006,15,39,0.0,20060505120124,20220107071905,5726,0.0
Requests_for_comment/Xiong,2006,5,5,0.0,20060329175828,20220107071909,5763,0.0
Requests_for_comment/Young_Zaphod,2006,14,28,0.0,20060220120711,20121127020741,2472,0.0
Requests_for_comment/Zarbon,2006,8,14,0.0,20060503042704,20220107071937,5728,0.0
Requests_for_comment/Zer0faults,2006,22,142,0.0,20060609024944,20220107071941,5691,0.0
Requests_for_comment/Zer0faults/Illustrating_my_point,2006,2,2,0.0,20060612231832,20230210220449,6087,0.0
Requests_for_comment/drgitlow,2006,1,3,0.0,20060701230554,20060703215159,2,0.0
Requests_for_comment/feedyourfeet,2006,2,2,0.0,20060706075349,20220107071953,5664,0.0
Requests_for_comment/hakozen,2006,8,15,0.0,20060305234903,20220107071956,5787,0.0
Requests_for_comment/pm_shef,2006,2,2,0.0,20060814001054,20220107072007,5625,0.0
Requests_for_comment/user:MostWanted05,2006,8,32,0.0,20060529204249,20220107072013,5702,0.0
Requests_for_comment/12.144.5.2,2007,2,2,0.0,20070616061017,20220107063332,5319,0.0
Requests_for_comment/205.154.159.1,2007,2,2,0.0,20070214130908,20220107063344,5441,0.0
Requests_for_comment/68.239.79.82,2007,2,2,0.0,20070511070550,20220107063432,5355,0.0
Requests_for_comment/69.253.195.228,2007,2,2,0.0,20071221051738,20210718043519,4958,0.0
Requests_for_comment/72.83.118.69,2007,2,2,0.0,20070903134804,20220107063441,5240,0.0
Requests_for_comment/Adamwankenobi,2007,4,4,0.0,20070526114957,20220325003453,5417,0.0
Requests_for_comment/Alansohn,2007,29,135,0.0,20070628003242,20260301210924,6821,0.0
Requests_for_comment/AlexCovarrubias,2007,8,17,0.0,20070516015718,20220107063600,5350,0.0
Requests_for_comment/Alkivar,2007,43,169,0.0,20070727154033,20230303044612,5698,0.0
Requests_for_comment/Aminz,2007,52,197,0.0,20070121205501,20230309160635,5891,0.0
Requests_for_comment/Angel_David,2007,17,71,0.0,20071019205448,20240903043956,6164,0.0
Requests_for_comment/Angie_Y.,2007,22,57,0.0,20070705163103,20230130081613,5688,0.0
Requests_for_comment/Angie_Y._2,2007,9,43,0.0,20071211004112,20230303044604,5561,0.0
Requests_for_comment/Anonimu,2007,27,230,0.0,20071027211638,20230303044601,5606,0.0
Requests_for_comment/Anonymous_page_creation,2007,194,506,0.0,20071109014056,20240820225729,6129,0.0
Requests_for_comment/Anonywiki,2007,2,8,0.0,20070618013641,20220107063704,5317,0.0
Requests_for_comment/Anthony_DiPierro,2007,6,7,0.0,20070816203315,20230210060935,5657,0.0
Requests_for_comment/Artaxerex,2007,10,24,0.0,20070731100639,20220107063729,5274,0.0
Requests_for_comment/Articles,2007,6,9,0.0,20070207023638,20200521005351,4852,0.0
Requests_for_comment/Assault11,2007,12,40,0.0,20070610150302,20220327201041,5404,0.0
Requests_for_comment/Astrotrain,2007,28,72,0.0,20070303220020,20230303044519,5844,0.0
Requests_for_comment/Atabek,2007,12,137,0.0,20070607184508,20220115190613,5336,0.0
Requests_for_comment/BWCNY,2007,7,19,0.0,20070201231702,20220107063826,5454,0.0
Requests_for_comment/Badmonkey,2007,7,23,0.0,20070422224223,20220107063846,5374,0.0
Requests_for_comment/Banno,2007,21,50,0.0,20070708173834,20230227094712,5713,0.0
Requests_for_comment/BassxForte,2007,12,27,0.0,20070410002112,20230303044459,5806,0.0
Requests_for_comment/Betacommand,2007,25,67,0.0,20070219213759,20211011174550,5348,0.0
Requests_for_comment/BigDaddy777,2007,2,5,0.0,20070618214329,20220325003500,5394,0.0
Requests_for_comment/Billy_Hathorn,2007,14,30,0.0,20071110145857,20230303044449,5592,0.0
Requests_for_comment/Biophys,2007,6,19,0.0,20070221183452,20220107063932,5434,0.0
Requests_for_comment/Bishonen_2,2007,41,152,0.0,20070605081736,20240501022744,6175,0.0
Requests_for_comment/Bluemarine,2007,24,117,0.0,20070916051218,20220325003504,5304,0.0
Requests_for_comment/Bobby_Awasthi,2007,2,2,0.0,20070526235637,20220107064007,5340,0.0
Requests_for_comment/Bobsmith319,2007,10,19,0.0,20070624202841,20220107064010,5311,0.0
Requests_for_comment/Bruce1333,2007,10,49,0.0,20071208173243,20230218164328,5551,0.0
Requests_for_comment/Bull-Doser,2007,3,8,0.0,20070314104805,20220107064043,5413,0.0
Requests_for_comment/COGDEN,2007,44,189,0.0,20071212194438,20230227094700,5556,0.0
Requests_for_comment/Calton,2007,36,116,0.0,20070207003345,20220423175121,5554,0.0
Requests_for_comment/Camptown,2007,10,34,0.0,20071016113944,20220107064112,5197,0.0
Requests_for_comment/Certified.Gangsta,2007,17,37,0.0,20070219042635,20220107064137,5436,0.0
Requests_for_comment/Chrisjnelson,2007,13,77,0.0,20070813030540,20230302200548,5680,0.0
Requests_for_comment/Cla68,2007,34,143,0.0,20070601195518,20221215003201,5676,0.0
Requests_for_comment/Commodore_Sloat,2007,17,131,0.0,20070824001645,20220325003511,5327,0.0
Requests_for_comment/Custerwest,2007,12,36,0.0,20070803102510,20220530133626,5414,0.0
Requests_for_comment/Cyclepat,2007,7,12,0.0,20070531025441,20220419120614,5437,0.0
Requests_for_comment/DPeterson,2007,27,81,0.0,20070517014019,20220107063143,5349,0.0
Requests_for_comment/Darkcat21,2007,5,15,0.0,20070123092259,20220107064400,5463,0.0
Requests_for_comment/Darwinek_2,2007,14,22,0.0,20070321150555,20230227094635,5822,0.0
Requests_for_comment/Davenbelle_and_Stereotek,2007,4,4,0.0,20070526113301,20220107064419,5340,0.0
Requests_for_comment/David_5000,2007,2,3,0.0,20070526115000,20220107064423,5340,0.0
Requests_for_comment/David_Shankbone,2007,3,4,0.0,20071213223608,20220107064426,5139,0.0
Requests_for_comment/Dbachmann,2007,32,70,0.0,20070302153740,20220328075158,5505,0.0
Requests_for_comment/Dbachmann_3,2007,46,249,0.0,20071116200052,20220520075757,5299,0.0
Requests_for_comment/Desiphral,2007,12,31,0.0,20070407222324,20220328075155,5469,0.0
Requests_for_comment/Doc_glasgow,2007,56,179,0.0,20070222095154,20230315075018,5865,0.0
Requests_for_comment/DorisH,2007,6,27,0.0,20070317135920,20220107064554,5410,0.0
Requests_for_comment/DreamGuy_2,2007,44,189,0.0,20070807195132,20230303044324,5687,0.0
Requests_for_comment/Duke53,2007,9,39,0.0,20071012204818,20260508212529,6783,0.0
Requests_for_comment/Durova,2007,117,544,0.0,20071123030830,20240204204344,5917,0.0
Requests_for_comment/EJ220,2007,6,16,0.0,20071111184750,20230303044316,5591,0.0
Requests_for_comment/Edmonton_Election_Pages,2007,5,9,0.0,20070620203343,20091119144456,883,0.0
Requests_for_comment/Eep,2007,32,135,0.0,20070507103402,20230303044314,5779,0.0
Requests_for_comment/Eiorgiomugini,2007,6,52,0.0,20070519090245,20220107064706,5347,0.0
Requests_for_comment/El_Coronado,2007,2,2,0.0,20070208015627,20070208015652,0,0.0
Requests_for_comment/Elonka,2007,116,538,0.0,20071129195101,20230421153156,5622,0.0
Requests_for_comment/Emir_Arven,2007,8,36,0.0,20070313085556,20230303044311,5834,0.0
Requests_for_comment/Epbr123,2007,25,119,0.0,20070910152928,20230303044305,5653,0.0
Requests_for_comment/Essjay,2007,2,5,0.0,20070305171338,20070707040030,124,0.0
Requests_for_comment/Essjay/Straw_Poll,2007,9,13,0.0,20070302215132,20250219171322,6564,0.0
Requests_for_comment/Evrik,2007,31,87,0.0,20070216225643,20230303044255,5859,0.0
Requests_for_comment/Example_user2,2007,2,2,0.0,20071214192729,20110725085449,1319,0.0
Requests_for_comment/Eyrian,2007,14,36,0.0,20070803171109,20230303044247,5691,0.0
Requests_for_comment/FC_Vorskla_Poltava_image,2007,7,13,0.0,20070521204147,20070530084115,9,0.0
Requests_for_comment/Fingers-of-Pyrex,2007,6,9,0.0,20070708215025,20230303044236,5717,0.0
Requests_for_comment/ForrestLane42,2007,11,52,0.0,20070204210306,20220107064922,5451,0.0
Requests_for_comment/FuelWagon_2/FuelWagonTalkPageSnapshot,2007,4,5,0.0,20070514031335,20210718052900,5179,0.0
Requests_for_comment/Garywbush,2007,2,2,0.0,20070130105656,20220107065017,5456,0.0
Requests_for_comment/Gavin.collins,2007,65,197,0.0,20071004060355,20230318191211,5644,0.0
Requests_for_comment/Gazwim,2007,10,14,0.0,20070906143705,20220107065033,5237,0.0
Requests_for_comment/Geoeg,2007,10,29,0.0,20071016045601,20230303044217,5617,0.0
Requests_for_comment/Gnixon,2007,18,59,0.0,20070718001611,20211015155827,5203,0.0
Requests_for_comment/Gravitor,2007,13,72,0.0,20070228130116,20230303044156,5847,0.0
Requests_for_comment/Gump,2007,13,24,0.0,20071213212612,20080821163433,252,0.0
Requests_for_comment/HanzoHattori,2007,17,80,0.0,20070803103553,20230303044145,5691,0.0
Requests_for_comment/Henchman_2000,2007,9,19,0.0,20070221211324,20220107065243,5434,0.0
Requests_for_comment/Hildanknight,2007,6,14,0.0,20070129135759,20211225080229,5444,0.0
Requests_for_comment/Humus_sapiens,2007,1,5,0.0,20070504213823,20070504230217,0,0.0
Requests_for_comment/ILike2BeAnonymous,2007,2,3,0.0,20070909225706,20220107065312,5234,0.0
Requests_for_comment/IPSOS,2007,8,31,0.0,20070613162959,20220107065315,5322,0.0
Requests_for_comment/IZAK,2007,2,2,0.0,20070226065609,20180419091720,4070,0.0
Requests_for_comment/ImprobabilityDrive,2007,15,109,0.0,20070505051251,20230303044119,5781,0.0
Requests_for_comment/InShaneee_2,2007,4,5,0.0,20070214002516,20070311011056,25,0.0
Requests_for_comment/Irate,2007,4,6,0.0,20070526115007,20220927175316,5603,0.0
Requests_for_comment/Italiavivi,2007,30,160,0.0,20070902184719,20230210220035,5640,0.0
Requests_for_comment/JJay,2007,12,52,0.0,20070202022603,20211015122531,5369,0.0
Requests_for_comment/Jebbrady,2007,8,38,0.0,20070822204648,20220107065454,5252,0.0
Requests_for_comment/Jeffrey_O._Gustafson_2,2007,29,60,0.0,20070709233146,20230303044043,5716,0.0
Requests_for_comment/Jeffrey_Vernon_Merkey2,2007,48,266,0.0,20070524190453,20220404134610,5429,0.0
Requests_for_comment/Jiejunkong,2007,13,99,0.0,20070709132717,20220107065515,5296,0.0
Requests_for_comment/Jimmuldrow,2007,6,77,0.0,20070218192036,20220107065520,5437,0.0
Requests_for_comment/Jinxmchue,2007,7,10,0.0,20070924164242,20230303044034,5639,0.0
Requests_for_comment/Jobstbrandt,2007,6,17,0.0,20070221164027,20220107065530,5434,0.0
Requests_for_comment/John_Foxe,2007,13,28,0.0,20070910062002,20220107063157,5233,0.0
Requests_for_comment/Jvalant,2007,2,2,0.0,20070526235437,20220107065553,5340,0.0
Requests_for_comment/Jwrosenzweig,2007,2,3,0.0,20070905084305,20230210220040,5637,0.0
Requests_for_comment/KazakhPol,2007,22,70,0.0,20070212212823,20230303044024,5863,0.0
Requests_for_comment/Kelly_Martin_2,2007,3,3,0.0,20070428200233,20070506053916,8,0.0
Requests_for_comment/Kmweber,2007,64,127,0.0,20070803050029,20240822212303,6229,0.0
Requests_for_comment/Kmweber_2,2007,74,281,0.0,20071211093600,20230128155719,5527,0.0
Requests_for_comment/Koopa_turtle,2007,2,2,0.0,20071003050900,20220107065720,5210,0.0
Requests_for_comment/Kwork,2007,16,57,0.0,20070826182626,20220516053143,5377,0.0
Requests_for_comment/L0b0t,2007,9,35,0.0,20070215144310,20220107065744,5440,0.0
Requests_for_comment/LSLM,2007,17,27,0.0,20070221022010,20230303044005,5854,0.0
Requests_for_comment/List_ordering,2007,11,15,0.0,20070214101612,20220305112315,5498,0.0
Requests_for_comment/Logicus,2007,4,10,0.0,20070201132933,20220107065843,5454,0.0
Requests_for_comment/Lovelight,2007,10,29,0.0,20070424150438,20220107065855,5372,0.0
Requests_for_comment/Ludovicapipa,2007,7,23,0.0,20070906202341,20220501041617,5351,0.0
Requests_for_comment/Luisosio,2007,7,18,0.0,20071001021015,20230303043949,5632,0.0
Requests_for_comment/Lulu_of_the_Lotus-Eaters,2007,3,4,0.0,20070106192542,20220107065904,5480,0.0
Requests_for_comment/Lysdexia,2007,3,4,0.0,20070222045345,20220107065916,5433,0.0
Requests_for_comment/MONGO_2,2007,75,279,0.0,20070418190455,20230314115803,5809,0.0
Requests_for_comment/MONGO_3,2007,66,251,0.0,20071116055405,20260222174746,6673,0.0
Requests_for_comment/Macedonia,2007,10,19,0.0,20070213130359,20220107065945,5442,0.0
Requests_for_comment/Magic_Trick_Instructions,2007,4,7,0.0,20070606015949,20230210220104,5728,0.0
Requests_for_comment/Mangojuice,2007,41,97,0.0,20070228050550,20230303043935,5847,0.0
Requests_for_comment/MarkThomas,2007,4,6,0.0,20070726140143,20220107070019,5279,0.0
Requests_for_comment/Mark_Kim,2007,11,31,0.0,20070621034350,20230303043929,5734,0.0
Requests_for_comment/Martinphi,2007,39,262,0.0,20070401225106,20230303043926,5815,0.0
Requests_for_comment/Mattisse_2,2007,13,71,0.0,20071005154845,20230303043918,5628,0.0
Requests_for_comment/Maveric149,2007,2,2,0.0,20070622093558,20220107070047,5313,0.0
Requests_for_comment/Mbhiii,2007,5,9,0.0,20070329172329,20230303043912,5818,0.0
"Requests_for_comment/Media,_art_and_literature",2007,3,3,0.0,20070213162814,20070214061413,1,0.0
Requests_for_comment/Mehrshad123,2007,2,2,0.0,20070314040420,20220107070100,5413,0.0
Requests_for_comment/Mihai_cartoaje,2007,11,46,0.0,20070221231834,20220107070143,5434,0.0
Requests_for_comment/Mike18xx,2007,23,70,0.0,20070606090433,20230210220116,5728,0.0
Requests_for_comment/Mlorrey,2007,2,2,0.0,20070810183047,20220107070210,5264,0.0
Requests_for_comment/Moulton,2007,23,115,0.0,20070904173512,20230303043843,5659,0.0
Requests_for_comment/Mr_Tan,2007,4,6,0.0,20070326081941,20211208164503,5371,0.0
Requests_for_comment/NE2,2007,13,38,0.0,20070622221051,20230130081514,5701,0.0
Requests_for_comment/NE2_(second_RFC),2007,14,58,0.0,20070722174440,20230303043801,5703,0.0
Requests_for_comment/NE2_3,2007,20,107,0.0,20071021220145,20250114003052,6295,0.0
Requests_for_comment/NSK,2007,2,4,0.0,20070526115117,20230303043757,5760,0.0
Requests_for_comment/Nationalist,2007,11,67,0.0,20070204004611,20230303043745,5871,0.0
Requests_for_comment/Ned_Scott,2007,24,186,0.0,20070728094911,20230210220124,5676,0.0
Requests_for_comment/Nescio_2,2007,9,43,0.0,20070913101439,20220107070333,5230,0.0
Requests_for_comment/Nicholas_Cimini,2007,2,3,0.0,20070611161750,20220107070347,5324,0.0
Requests_for_comment/Nightscream,2007,2,2,0.0,20071201190953,20220107070406,5151,0.0
Requests_for_comment/Nik_Wright2,2007,2,2,0.0,20070516143228,20220107070409,5350,0.0
Requests_for_comment/Nirelan,2007,4,11,0.0,20070208201819,20220107070416,5447,0.0
Requests_for_comment/OleMaster,2007,3,3,0.0,20070224213736,20070823095230,180,0.0
Requests_for_comment/Omegatron,2007,18,34,0.0,20070622085836,20230315075217,5745,0.0
Requests_for_comment/Peter_morrell,2007,13,34,0.0,20070720074836,20230303043655,5705,0.0
Requests_for_comment/Petri_Krohn,2007,37,179,0.0,20070619150010,20220412094223,5411,0.0
Requests_for_comment/Pop_music_issues,2007,2,3,0.0,20071124195526,20230210220159,5557,0.0
Requests_for_comment/Pschemp,2007,2,4,0.0,20070208134454,20070208134809,0,0.0
Requests_for_comment/QZ_Deletion_dispute,2007,102,664,0.0,20070521221148,20230310101459,5772,0.0
Requests_for_comment/QuackGuru,2007,27,98,0.0,20070412024446,20230303043626,5804,0.0
Requests_for_comment/Quantumentanglement,2007,20,48,0.0,20071216043718,20220323095614,5211,0.0
Requests_for_comment/Rangeley,2007,15,79,0.0,20070129073708,20220325131831,5534,0.0
Requests_for_comment/Raspor,2007,34,115,0.0,20070103004246,20211202120122,5447,0.0
Requests_for_comment/Rbjj,2007,2,2,0.0,20070128101917,20220107070804,5458,0.0
Requests_for_comment/Researcher99,2007,2,2,0.0,20070526115121,20200813105221,4828,0.0
Requests_for_comment/Rhode_Island_Red,2007,21,111,0.0,20070609074258,20230303043604,5746,0.0
Requests_for_comment/RichardBennett,2007,5,40,0.0,20070308042724,20220421232236,5523,0.0
Requests_for_comment/Rkowalke,2007,4,16,0.0,20070922233027,20211215155130,5198,0.0
Requests_for_comment/Rktect,2007,12,118,0.0,20070709141737,20220325131827,5373,0.0
Requests_for_comment/RodentofDeath,2007,8,43,0.0,20071125130716,20220107070921,5157,0.0
Requests_for_comment/RunedChozo,2007,7,18,0.0,20070202135820,20220107070939,5453,0.0
Requests_for_comment/Russianname,2007,8,20,0.0,20070720123122,20220107070946,5285,0.0
Requests_for_comment/Ryulong,2007,78,285,0.0,20070730193512,20260302172854,6790,0.0
Requests_for_comment/Salom_Khalitun,2007,9,57,0.0,20070910154636,20220107071023,5233,0.0
Requests_for_comment/Samuel_Blanning,2007,78,147,0.0,20070221203738,20230315075103,5866,0.0
Requests_for_comment/Sarah777,2007,36,121,0.0,20070311024428,20220530133511,5559,0.0
Requests_for_comment/Scipo,2007,5,16,0.0,20071019223553,20230303043535,5614,0.0
Requests_for_comment/Shamir1,2007,8,25,0.0,20071015215924,20220115190653,5206,0.0
Requests_for_comment/Shashwat_pandey,2007,9,26,0.0,20070716231535,20070725025008,9,0.0
Requests_for_comment/Sir_Nicholas_de_Mimsy-Porpington_2,2007,22,85,0.0,20070218230239,20220516181059,5566,0.0
Requests_for_comment/SkyWalker,2007,3,13,0.0,20071008234209,20220107071216,5205,0.0
Requests_for_comment/Sm565,2007,16,37,0.0,20071016152649,20230303043511,5617,0.0
Requests_for_comment/Snowspinner_2,2007,3,14,0.0,20070628141159,20230201180348,5697,0.0
"Requests_for_comment/Society,_sports,_and_culture",2007,132,3085,10.0,20070704104004,20260509010426,6884,0.003
Requests_for_comment/Spartaz,2007,23,67,0.0,20070707192008,20230210220259,5697,0.0
Requests_for_comment/Sport,2007,3,5,0.0,20070627073730,20070704104029,7,0.0
Requests_for_comment/StuRat_2,2007,27,163,0.0,20070109015111,20250123162049,6589,0.0
Requests_for_comment/Stude62,2007,2,2,0.0,20070211083920,20170127205105,3638,0.0
Requests_for_comment/Suemcp,2007,12,51,0.0,20070101184008,20211214071700,5461,0.0
Requests_for_comment/Taglines_for_wrestling_events_and_matches,2007,4,12,0.0,20070309030533,20230210220314,5817,0.0
Requests_for_comment/Tezza1,2007,27,70,0.0,20070312012215,20220107071427,5415,0.0
Requests_for_comment/The_13th_4postle,2007,8,21,0.0,20070814180653,20230303043440,5680,0.0
Requests_for_comment/The_strokes,2007,9,42,0.0,20070425233809,20220107071433,5371,0.0
Requests_for_comment/ThreeE,2007,23,46,0.0,20070916111818,20221218040044,5572,0.0
Requests_for_comment/Threeafterthree,2007,8,26,0.0,20071215085930,20220107071456,5137,0.0
Requests_for_comment/Tony_Sidaway_4,2007,39,97,0.0,20071004014841,20220501041542,5323,0.0
Requests_for_comment/TyrusThomas4lyf,2007,14,65,0.0,20070504101639,20230303043425,5782,0.0
Requests_for_comment/Uncle_G,2007,3,5,0.0,20070519100030,20220504035606,5464,0.0
Requests_for_comment/UninvitedCompany_2,2007,2,4,0.0,20070212175214,20230303043418,5863,0.0
"Requests_for_comment/University_High_School_(Los_Angeles,_California)",2007,10,23,0.0,20070523223419,20230210220345,5742,0.0
Requests_for_comment/User:Commodore_Sloat,2007,2,3,0.0,20070823215611,20220107071639,5251,0.0
Requests_for_comment/User_conduct/Cberlet,2007,10,26,0.0,20070729134236,20071015010834,78,0.0
Requests_for_comment/User_conduct/Dking,2007,7,14,0.0,20070729141647,20071015010858,78,0.0
Requests_for_comment/User_names/A41202813@GMAIL.COM,2007,3,3,0.0,20070407182154,20070408071633,1,0.0
Requests_for_comment/User_names/Abolishthedeathpenalty,2007,2,3,0.0,20070406042232,20070406173231,0,0.0
Requests_for_comment/User_names/Administrators,2007,12,32,0.0,20070921022551,20200907223816,4735,0.0
Requests_for_comment/User_names/Archive,2007,3,153,0.0,20070210233543,20070501184504,80,0.0
Requests_for_comment/User_names/CafeJava,2007,3,4,0.0,20070411035106,20070411120121,0,0.0
Requests_for_comment/User_names/Christisoursavior,2007,3,3,0.0,20070411034637,20230210220353,5784,0.0
Requests_for_comment/User_names/CliosCalamityOfClits,2007,12,14,0.0,20070404204137,20230303043409,5812,0.0
"Requests_for_comment/User_names/Do_me,_baby",2007,8,8,0.0,20070407230545,20211031121222,5321,0.0
